id,common_name,scientific_name,family,habitat,conservation_status,description,image_url,audio_url
11,Hildebrandt's Starling,Lamprotornis hildebrandti,Sturnidae,Dry woodland and savanna,Least Concern,Iridescent starling similar to Superb Starling but with a dark eye and orange-buff lower belly.,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Lamprotornis_hildebrandti_-Tanzania-8-2c.jpg/960px-Lamprotornis_hildebrandti_-Tanzania-8-2c.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,
12,Violet-backed Starling,Cinnyricinclus leucogaster,Sturnidae,Woodland and forest edges,Least Concern,Small starling with striking violet-blue back in males; females are brown and streaked.,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Violet-backed_starling_%28Cinnyricinclus_leucogaster_verreauxi%29_male.jpg/960px-Violet-backed_starling_%28Cinnyricinclus_leucogaster_verreauxi%29_male.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,
13,Greater Blue-eared Starling,Lamprotornis chalybaeus,Sturnidae,Savanna and woodland,Least Concern,Glossy blue-green starling common in mixed flocks across East African savanna.,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Greater_blue-eared_starling_%28Lamprotornis_chalybaeus_nordmanni%29_Kruger.jpg/960px-Greater_blue-eared_starling_%28Lamprotornis_chalybaeus_nordmanni%29_Kruger.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,
14,Red-winged Starling,Onychognathus morio,Sturnidae,Cliffs urban areas and gorges,Least Concern,Glossy black starling with rufous flight feathers visible in flight. Common on buildings and cliffs.,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Red-winged_starling_%28Onychognathus_morio_morio%29_male_Mount_Sheba.jpg/960px-Red-winged_starling_%28Onychognathus_morio_morio%29_male_Mount_Sheba.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,
15,Wattled Starling,Creatophora cinerea,Sturnidae,Open grassland and savanna,Least Concern,Nomadic starling that follows locust and grasshopper outbreaks. Breeding males show bare yellow skin and wattles.,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Wattled_Starling_%28Creatophora_cinerea%29_%286017306206%29%2C_crop.jpg/960px-Wattled_Starling_%28Creatophora_cinerea%29_%286017306206%29%2C_crop.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,
16,Ruppell's Starling,Lamprotornis purpuroptera,Sturnidae,Dry savanna and bushland,Least Concern,"Long-tailed glossy starling with a pale iris, common in northern Kenya.",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Lamprotornis_purpuropterus_Rueppell%27s_Glossy_Starling.JPG/960px-Lamprotornis_purpuropterus_Rueppell%27s_Glossy_Starling.JPG?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,
17,Ashy Starling,Lamprotornis unicolor,Sturnidae,Dry acacia savanna,Least Concern,Plain grey-brown starling endemic to the East African dry savanna belt.,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Cosmopsarus_unicolor_%28Serengeti%2C_2009%29.jpg/960px-Cosmopsarus_unicolor_%28Serengeti%2C_2009%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,
18,Slender-billed Starling,Onychognathus tenuirostris,Sturnidae,Highland forest and cliffs,Least Concern,"Glossy starling of highland forest edges and rocky escarpments, told by its slim bill.",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Onychognathus_tenuirostris_mtkenya_pair_1.jpg/960px-Onychognathus_tenuirostris_mtkenya_pair_1.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,
19,Ring-necked Dove,Streptopelia capicola,Columbidae,Gardens woodland and savanna,Least Concern,"One of Africa's most familiar doves, known for its rhythmic work-harder call.",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Ring-necked_dove_%28Streptopelia_capicola_damarensis%29.jpg/960px-Ring-necked_dove_%28Streptopelia_capicola_damarensis%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,
20,Speckled Pigeon,Columba guinea,Columbidae,Urban areas cliffs and farmland,Least Concern,"Large reddish-brown pigeon with white-speckled wings, common on buildings and cliffs.",https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Specked_Pigeon_...Gambia_%2832709456610%29.jpg/960px-Specked_Pigeon_...Gambia_%2832709456610%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,
21,Emerald-spotted Wood-Dove,Turtur chalcospilos,Columbidae,Woodland and thicket,Least Concern,Small dove with iridescent green wing spots and a soft descending call.,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Emerald-spotted_Wood_Dove_%28Turtur_chalcospilos%29_%2831377518065%29%2C_crop.jpg/960px-Emerald-spotted_Wood_Dove_%28Turtur_chalcospilos%29_%2831377518065%29%2C_crop.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,
22,Village Weaver,Ploceus cucullatus,Ploceidae,Gardens woodland and wetlands,Least Concern,Colonial weaver; males build elaborate woven nests and display bright yellow-and-black breeding plumage.,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Village_weaver_%28Ploceus_cucullatus_cucullatus%29_male_with_leaf.jpg/960px-Village_weaver_%28Ploceus_cucullatus_cucullatus%29_male_with_leaf.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,
23,Lesser Masked Weaver,Ploceus intermedius,Ploceidae,Wetlands and riverine woodland,Least Concern,"Small weaver with a black mask and pale eye, often nesting over water.",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Lesser_Masked_Weaver_-_Baringo_-_Kenya_NH8O1107_%2822662509730%29.jpg/960px-Lesser_Masked_Weaver_-_Baringo_-_Kenya_NH8O1107_%2822662509730%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,
24,Baglafecht Weaver,Ploceus baglafecht,Ploceidae,Gardens forest edges and highlands,Least Concern,"Highland weaver with a variable black-and-yellow head pattern, common in Nairobi gardens.",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Baglafecht_Weaver_-_Tanzania_0106_%2822850517295%29.jpg/960px-Baglafecht_Weaver_-_Tanzania_0106_%2822850517295%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,
25,Speke's Weaver,Ploceus spekei,Ploceidae,Dry savanna and acacia woodland,Least Concern,"Weaver with a heavily spotted black-and-yellow back, common in colonies in dry country.",https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Speke%27s_weaver_%28Ploceus_spekei%29.jpg/960px-Speke%27s_weaver_%28Ploceus_spekei%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,
26,Golden-backed Weaver,Ploceus jacksoni,Ploceidae,Wetlands and grassland,Least Concern,"Weaver with a golden back and streaked crown, associated with papyrus and grassland edges.",https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Golden-backed_Weaver.jpg/960px-Golden-backed_Weaver.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,
27,Holub's Golden Weaver,Ploceus xanthops,Ploceidae,Wetlands and riverine vegetation,Least Concern,Large all-golden weaver found near swamps and rivers.,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Holub%27s_golden_weaver_%28Ploceus_xanthops%29_%2822561083782%29.jpg/960px-Holub%27s_golden_weaver_%28Ploceus_xanthops%29_%2822561083782%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,
28,Spectacled Weaver,Ploceus ocularis,Ploceidae,Forest edges and thickets,Least Concern,Weaver with a distinctive black spectacle mask around the eyes.,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Spectacled_weaver_%28Ploceus_ocularis_ocularis%29_male_Mbombela.jpg/960px-Spectacled_weaver_%28Ploceus_ocularis_ocularis%29_male_Mbombela.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,
29,Black-headed Weaver,Ploceus melanocephalus,Ploceidae,Wetlands and reedbeds,Least Concern,"Weaver with a black hood and bright yellow body, nests in reeds over water.",https://upload.wikimedia.org/wikipedia/commons/d/d7/Yellow_backed_weaver.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,
30,Variable Sunbird,Cinnyris venustus,Nectariniidae,Gardens woodland and savanna,Least Concern,"Small iridescent sunbird, common and widespread in gardens across East Africa.",https://upload.wikimedia.org/wikipedia/commons/2/23/2009-variable-sunbird.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,
31,Scarlet-chested Sunbird,Chalcomitra senegalensis,Nectariniidae,Gardens and woodland,Least Concern,Sunbird with a brilliant scarlet breast patch against a dark body.,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Scarlet-chested_sunbird%2C_Chalcomitra_senegalensis%2C_at_Lake_Chivero%2C_Harare%2C_Zimbabwe_-_male_%2821247780653%29.jpg/960px-Scarlet-chested_sunbird%2C_Chalcomitra_senegalensis%2C_at_Lake_Chivero%2C_Harare%2C_Zimbabwe_-_male_%2821247780653%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,
32,Bronzy Sunbird,Nectarinia kilimensis,Nectariniidae,Highland forest edges and gardens,Least Concern,Long-tailed highland sunbird with bronze-green iridescence.,https://upload.wikimedia.org/wikipedia/commons/9/96/Bronze_Sunbird_%28Nectarinia_kilimensis%29_male.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,
33,Eastern Double-collared Sunbird,Cinnyris mediocris,Nectariniidae,Highland forest and gardens,Least Concern,Highland sunbird with a narrow scarlet breast band bordered by iridescent green and blue.,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Eastern_Double-collared_Sunbird%2C_Ngorongoro_Crater_%288494806979%29.jpg/960px-Eastern_Double-collared_Sunbird%2C_Ngorongoro_Crater_%288494806979%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,
34,Red-chested Sunbird,Cinnyris erythrocercus,Nectariniidae,Wetlands and riverine woodland,Least Concern,"Sunbird with a small red chest patch, found near papyrus swamps and rivers.",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Red-chested_sunbird_%28Cinnyris_erythrocercus%29_male.jpg/960px-Red-chested_sunbird_%28Cinnyris_erythrocercus%29_male.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,
35,Marico Sunbird,Cinnyris mariquensis,Nectariniidae,Dry savanna and acacia woodland,Least Concern,"Sunbird with a broad maroon breast band, common in drier savanna habitats.",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Marico_sunbird%2C_Cinnyris_mariquensis%2C_at_Marakele_National_Park%2C_Limpopo%2C_South_Africa_%2831756233857%29.jpg/960px-Marico_sunbird%2C_Cinnyris_mariquensis%2C_at_Marakele_National_Park%2C_Limpopo%2C_South_Africa_%2831756233857%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,
36,Collared Sunbird,Hedydipna collaris,Nectariniidae,Forest edges and thickets,Least Concern,"Small green sunbird with a narrow violet collar, favors shaded forest understory.",https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Collared_sunbird_%28Hedydipna_collaris%29_male.jpg/960px-Collared_sunbird_%28Hedydipna_collaris%29_male.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,
37,Eastern Violet-backed Sunbird,Anthreptes orientalis,Nectariniidae,Dry coastal and acacia woodland,Least Concern,"Small sunbird with an iridescent violet back and pale underparts, found in dry bushland.",https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Anthreptes_orientalis.jpg/960px-Anthreptes_orientalis.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,
38,Giant Kingfisher,Megaceryle maxima,Cerylidae,Rivers and forest streams,Least Concern,"Africa's largest kingfisher, with a shaggy crest and heavy bill, found along forested rivers.",https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Giant_kingfisher_%28Megaceryle_maxima%29_male.jpg/960px-Giant_kingfisher_%28Megaceryle_maxima%29_male.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,
39,Woodland Kingfisher,Halcyon senegalensis,Halcyonidae,Woodland and savanna,Least Concern,"Bright blue-and-white kingfisher known for its loud trilling call, often far from water.",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Woodland_Kingfisher_%28Halcyon_senegalensis%29_South_Africa.jpg/960px-Woodland_Kingfisher_%28Halcyon_senegalensis%29_South_Africa.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,
40,Striped Kingfisher,Halcyon chelicuti,Halcyonidae,Dry woodland and savanna,Least Concern,"Small dryland kingfisher that rarely hunts near water, feeding mostly on insects.",https://upload.wikimedia.org/wikipedia/commons/5/5b/Striped_Kingfisher_-_Kenya_IMG_3214.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,
41,Brown-hooded Kingfisher,Halcyon albiventris,Halcyonidae,Woodland gardens and forest edges,Least Concern,"Kingfisher with a brown head and blue-black wings, common away from water in gardens.",https://upload.wikimedia.org/wikipedia/commons/5/5d/Male_Brown-hooded_Kingfisher%2C_Halcyon_albiventris_caught_a_wasp%2C_Tzaneen_area%2C_Limpopo%2C_South_Africa_%2814710550180%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,
42,Grey-headed Kingfisher,Halcyon leucocephala,Halcyonidae,Woodland and savanna,Least Concern,"Kingfisher with a grey head and chestnut belly, an intra-African migrant in parts of its range.",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/044_Grey-headed_kingfisher_at_Queen_Elizabeth_National_Park_Photo_by_Giles_Laurent.jpg/960px-044_Grey-headed_kingfisher_at_Queen_Elizabeth_National_Park_Photo_by_Giles_Laurent.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,
43,Crowned Eagle,Stephanoaetus coronatus,Accipitridae,Forest and forest edges,Vulnerable,"Africa's most powerful forest eagle, preying on monkeys and small antelope; population declining with forest loss.",https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Crowned_Eagle_%28Stephanoaetus_coronatus%29_with_prey_..._%2829591438981%29.jpg/960px-Crowned_Eagle_%28Stephanoaetus_coronatus%29_with_prey_..._%2829591438981%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,
44,Long-crested Eagle,Lophaetus occipitalis,Accipitridae,Forest edges and highland farmland,Least Concern,"Distinctive eagle with a shaggy crest, often seen perched on roadside poles.",https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Long-crested_eagle_%28Lophaetus_occipitalis%29_3.jpg/960px-Long-crested_eagle_%28Lophaetus_occipitalis%29_3.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,
45,Common Buzzard,Buteo buteo,Accipitridae,Open country and farmland,Least Concern,"Medium-sized migrant raptor from Eurasia, present in East Africa during the northern winter.",https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Common_Buzzard_by_caroline_legg_%28cropped%29.jpg/960px-Common_Buzzard_by_caroline_legg_%28cropped%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,
46,Black-winged Kite,Elanus caeruleus,Accipitridae,Open grassland and farmland,Least Concern,"Small pale grey-and-white raptor with red eyes, known for hovering while hunting rodents.",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Black-winged_Kite_in_Tal_Chhapar_Sanctuary_November_2025_by_Tisha_Mukherjee_03.jpg/960px-Black-winged_Kite_in_Tal_Chhapar_Sanctuary_November_2025_by_Tisha_Mukherjee_03.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,
47,Common Kestrel,Falco tinnunculus,Falconidae,Open country and farmland,Least Concern,Small falcon known for hovering in place while scanning for prey below.,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Common_kestrel_falco_tinnunculus.jpg/960px-Common_kestrel_falco_tinnunculus.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,
48,Peregrine Falcon,Falco peregrinus,Falconidae,Cliffs and urban areas,Least Concern,"The world's fastest bird, reaching extreme speeds in its hunting stoop; found on cliffs and increasingly in cities.",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Falco_peregrinus_m_Humber_Bay_Park_Toronto.jpg/960px-Falco_peregrinus_m_Humber_Bay_Park_Toronto.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,
49,African Harrier-Hawk,Polyboroides typus,Accipitridae,Forest and woodland,Least Concern,"Long-legged raptor with double-jointed knees, allowing it to raid nest holes for chicks and eggs.",https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Polyboroides_typus_-near_Sand_River_Selous%2C_Selous_Game_Reserve%2C_Tanzania-8%2C_crop.jpg/960px-Polyboroides_typus_-near_Sand_River_Selous%2C_Selous_Game_Reserve%2C_Tanzania-8%2C_crop.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,
